sku,slug,name,category,price,material,blurb,description,details,featured,madeToOrder,status,notes
RNG-01,aurelia-signet-ring,Aurelia Signet Ring,rings,145000,9ct gold vermeil,"A classic signet with a hand-brushed face, ready to engrave.","The Aurelia is a classic signet — a softly domed face on a tapered band, finished by hand so no two catch the light in quite the same way. Left plain it reads as quiet everyday gold; engraved, it becomes an heirloom.",Face 11mm × 9mm | Sizes G–U | Engraving can be arranged | Presented in a gift box,yes,,placeholder,
RNG-02,thread-stacking-band,Thread Stacking Band,rings,52000,Sterling silver,A 1.2mm band made to be worn three or four at a time.,"Deliberately fine, deliberately plain. The Thread band is the piece you buy one of and come back for three more of. Wear them stacked on one finger or spread across the hand.",1.2mm width | Sizes F–T | Available in silver or vermeil | Sold individually,,,placeholder,
RNG-03,noor-stone-ring,Noor Stone Ring,rings,245000,"14ct gold, labradorite",A single labradorite in a low bezel setting.,"One hand-cut labradorite, set low so it sits close to the finger and survives real life. Labradorite flashes blue and green as it moves, which means every stone is genuinely one of a kind.","Stone approx. 8mm | Sizes H–S | Ordered in, 3–4 weeks | Stone selected with you over WhatsApp",yes,yes,placeholder,
RNG-04,champagne-cluster-ring,Champagne Cluster Ring,rings,232000,"14ct gold, champagne quartz",A cluster of champagne quartz set to read as one stone.,"Nine stones graded by size and set close, so from an arm’s length it reads as a single large stone and only up close resolves into a cluster. That is the trick, and it is why a cluster costs less than the solitaire it imitates.","Cluster approx. 14mm | Sizes H–S | Champagne quartz | Ordered in, 3 weeks",,yes,placeholder,
RNG-05,eternity-band,Eternity Band,rings,198000,"Gold vermeil, cubic zirconia","Stones the whole way round, not just across the front.",A full eternity rather than a half — the stones continue under the finger where nobody sees them. It costs more and it is the reason the ring never needs turning the right way up.,2.5mm width | Sizes F–T | Full eternity setting | Presented in a gift box,,,placeholder,
RNG-06,maille-pave-ring,Maille Pavé Ring,rings,176000,"Gold vermeil, pavé set",A woven mesh band with a pavé panel.,"The band is woven rather than cast, so it has a little give and sits closer than a solid ring. The pavé panel sits flush, which means it does not catch on knitwear.",4mm width | Sizes G–U | Woven mesh band | Flush-set pavé panel,,,placeholder,
RNG-07,solitaire-ring,Solitaire Ring,rings,288000,"14ct gold, white sapphire","One white sapphire, set high to catch the light.","White sapphire rather than diamond, set in a four-claw basket lifted clear of the band so light passes underneath. Harder wearing than most people expect and a fraction of the price.",Stone approx. 6mm | Sizes H–S | Four-claw basket setting | White sapphire,yes,,placeholder,
RNG-08,galet-ring-pair,Galet Ring Pair,rings,154000,Gold vermeil,"Two rounded bands, sold as a pair.","Galet means pebble, which is what these are — rounded, plain, worn smooth-looking from the start. Sold as a pair because one on its own looks like it lost something.",3mm and 2mm widths | Sizes F–T | Sold as a pair | Also available singly,,,placeholder,
NCK-01,petit-curb-chain,Petit Curb Chain,necklaces,98000,Gold vermeil,A fine curb chain that layers without tangling.,"Flat-linked so it lies against the skin instead of rolling, which is what makes it the layering chain we recommend first. Wears beautifully alone at 42cm or under a longer pendant.",42cm with 5cm extender | 1.8mm link | Lobster clasp | Also available in 45cm,yes,,placeholder,
NCK-02,lune-pendant,Lune Pendant,necklaces,118000,"Sterling silver, freshwater pearl",A single baroque pearl on a fine box chain.,Each Lune uses a baroque freshwater pearl chosen for its irregularity — the lopsided ones are the point. Suspended off-centre so it moves as you do.,"Pearl 9–11mm, each unique | 45cm box chain | Pearl shape varies by piece | Photograph sent before dispatch",,,placeholder,
NCK-03,initial-charm-necklace,Initial Charm Necklace,necklaces,128000,Gold vermeil,A hand-stamped initial disc. Add as many as you like.,"Stamped one letter at a time by hand, so the spacing has a little human wander to it. Most people start with one and add a charm per birth, per anniversary, per whatever they decide counts.",12mm disc | Up to 4 charms per chain | Hand stamped — allow 1 week to arrive | Additional charms priced separately,,yes,placeholder,
NCK-04,carre-pendant,Carré Pendant,necklaces,142000,"Sterling silver, pavé set",A square pavé pendant on a fine box chain.,"A square face rather than a round one, because square catches light in flat planes and reads as deliberate where a circle reads as default. Small enough to wear under a collar.",12mm square face | 45cm box chain | Pavé set | Lobster clasp,,,placeholder,
